번호,단어,뜻
0120,do the dishes,설거지를 하다
0121,home,"집, 가정"
0122,apartment,아파트
0123,house,"주택, 집"
0124,single-family house,단독 주택
0125,townhouse,연립 주택
0126,neighbor,이웃
0127,neighborhood,"동네, 근처"
0128,address,주소
0129,zip code,우편번호
0130,landlord,집주인
0131,tenant,세입자
0132,rent,집세
0133,deposit,보증금
0134,rent a house,집을 빌리다
0135,move,"이사하다, 움직이다"
0136,move house,이사하다
0137,room,방
0138,bedroom,침실
0139,living room,거실
0140,dining room,식당
0141,bathroom,욕실
0142,hallway,복도
0143,balcony,발코니
0144,basement,지하실
0145,ceiling,천장
0146,wall,벽
0147,floor,"바닥, 층"
0148,first floor,1층
0149,door,문
0150,gate,"대문, 출입구"
0151,window,창문
0152,curtain,커튼
0153,furniture,가구
0154,table,탁자
0155,chair,의자
0156,sofa,소파
0157,closet,벽장
0158,bed,침대
0159,mattress,매트리스
0160,pillow,베개
0161,blanket,담요
0162,mirror,거울
0163,cabinet,장식장
0164,lamp,램프
0165,trash can,쓰레기통
0166,broom,빗자루
0167,appliances,가전제품
0168,computer,컴퓨터
0169,laptop,노트북 컴퓨터
0170,smartphone,스마트폰
0171,television,텔레비전
0172,heater,난방기
0173,air conditioner,에어컨
0174,washing machine,세탁기
0175,vacuum cleaner,진공 청소기
0176,clean,청소하다
0177,wash,씻다
0178,tidy up,정리하다
0179,dust,먼지를 털다
0180,messy,지저분한
0181,light,"빛, 전등"
0182,switch on,"(전기, 가스 등을) 켜다"
0183,turn off,"(전기, 가스 등을) 끄다"
0184,water,(식물에) 물을 주다
0185,garage,차고
0186,yard,마당
0187,garden,정원
0188,backyard,뒷마당
0189,roof,지붕
0190,smoke,"연기, 담배를 피우다"
0191,smoke detector,연기 감지기
0192,earthquake,지진
0193,fire,"불, 화재"
0194,firefighter,소방관
0195,leak,(물 등이) 새다
0196,break,"깨지다, 부수다"
0197,damage,피해를 입히다
0198,lock,자물쇠
0199,key,열쇠
0200,safe,안전한
0201,person,"사람, 인간"
0202,people,사람들
0203,human,인간의
0204,child,어린이
0205,kid,아이
0206,adult,"성인, 어른"
0207,senior,고령자
0208,gender,성별
0209,man,남자
0210,woman,여자
0211,name,이름
0212,last name,성씨
0213,first name,이름
0214,age,나이
0215,date of birth,생년월일
0216,old,"늙은, 오래된"
0217,young,"젊은, 어린"
0218,tall,키가 큰
0219,short,키가 작은
0220,heavy,무거운
0221,weight,체중
0222,lose weight,체중을 줄이다
0223,gain weight,살이 찌다
0224,body,몸
0225,head,머리
0226,face,얼굴
0227,eye,눈
0228,nose,코
0229,mouth,입
0230,ear,귀
0231,neck,목
0232,shoulder,어깨
0233,arm,팔
0234,elbow,팔꿈치
0235,hand,손
0236,finger,손가락
0237,chest,가슴
0238,stomach,"배, 위"
0239,leg,다리
0240,knee,무릎
0241,foot,발
0242,toe,발가락
0243,back,등
0244,heart,심장
0245,brain,뇌
0246,blood,피
0247,bone,뼈
0248,muscle,근육
0249,skin,피부
0250,hair,"머리카락, 털"
0251,beard,턱수염
0252,tooth,치아
0253,tongue,혀
0254,breath,"숨, 호흡"
0255,breathe,숨 쉬다
0256,smile,미소 짓다
0257,laugh,웃다
0258,cry,울다
0259,yawn,하품하다
0260,sleep,잠자다
0261,wake up,잠에서 깨다
0262,rest,휴식하다
0263,sneeze,재채기하다
0264,cough,기침하다
0265,sweat,땀을 흘리다
0266,health,건강
0267,healthy,건강한
0268,ill,아픈
0269,sick,아픈
0270,disease,질병
0271,cold,감기
0272,get a cold,감기에 걸리다
0273,fever,열
0274,headache,두통
0275,pain,통증
0276,sore throat,목 통증
0277,suffer,고통받다
0278,hurt,다치게 하다
0279,injury,부상
0280,wound,부상
0281,broken,골절된
0282,hospital,병원
0283,doctor,의사
0284,nurse,간호사
0285,clinic,진료소
0286,patient,환자
0287,medicine,약
0288,pills,알약
0289,drug,약물
0290,pharmacy,약국
0291,cure,치료하다
0292,recover,회복하다
0293,get well,회복하다
0294,ambulance,구급차
0295,emergency,"비상, 응급 상황"
0296,insurance,보험
0297,diet,"식단, 다이어트"
0298,exercise,운동
0299,fit,건강한
0300,stress,스트레스
0301,die,죽다
0302,dead,죽은
0303,death,죽음
0304,ghost,유령
0305,family,가족
0306,parent,부모
0307,father,아버지
0308,mother,어머니
0309,son,아들
0310,daughter,딸
0311,brother,"형제, 오빠, 남동생"
0312,sister,"자매, 언니, 여동생"
0313,siblings,"형제, 자매"
0314,grandparent,조부모
0315,grandfather,할아버지
0316,grandmother,할머니
0317,grandson,손자
0318,granddaughter,손녀
0319,uncle,"삼촌, 외삼촌"
0320,aunt,"이모, 고모, 숙모"
0321,cousin,사촌
0322,nephew,조카(남자)
0323,niece,조카(여자)
0324,married,결혼한
0325,husband,남편
0326,wife,아내
0327,bride,신부
0328,groom,신랑
0329,wedding,결혼식
0330,divorce,이혼
0331,friend,친구
0332,boyfriend,남자친구
0333,girlfriend,여자친구
0334,couple,"커플, 한 쌍"
0335,love,사랑
0336,date,데이트하다
0337,relationship,관계
0338,say hello,인사하다
0339,greet,인사하다
0340,hug,껴안다
0341,kiss,입맞춤하다
0342,chat,수다 떨다
0343,talk,말하다
0344,speak,말하다
0345,say,말하다
0346,tell,말하다
0347,call,"부르다, 전화하다"
0348,introduce,소개하다
0349,apologize,사과하다
0350,thank,고마워하다
0351,invite,초대하다
0352,visit,방문하다
0353,get together,모이다
0354,party,파티
0355,celebrate,축하하다
0356,present,선물
0357,gift,선물
0358,happy,행복한
0359,sad,슬픈
0360,angry,화난
0361,excited,신이 난
0362,nervous,긴장한
0363,worried,걱정하는
0364,tired,피곤한
0365,surprised,놀란
0366,scared,무서워하는
0367,bored,지루한
0368,embarrassed,당황한
0369,calm,차분한
0370,shy,수줍은
0371,mind,"마음, 정신"
0372,feel,느끼다
0373,emotion,감정
0374,mood,기분
0375,polite,공손한
0376,kind,친절한
0377,nice,"친절한, 좋은"
0378,rude,무례한
0379,smart,똑똑한
0380,silly,어리석은
0381,selfish,이기적인
0382,loyal,충성스러운
0383,honest,정직한
0384,humorous,유머러스한
0385,respect,존경하다
0386,admire,존경하다
0387,trust,신뢰하다
0388,like,좋아하다
0389,dislike,싫어하다
0390,hate,싫어하다
0391,miss,"그리워하다, 놓치다"
0392,share,공유하다
0393,care,보살피다
0394,support,지원하다
0395,help,돕다
0396,fight,싸우다
0397,argue,논쟁하다
0398,agree,동의하다
0399,disagree,동의하지 않다
0400,promise,약속하다
0401,clothing,옷
0402,clothes,옷
0403,dress,"옷, 드레스"
0404,shirt,셔츠
0405,t-shirt,티셔츠
0406,sweater,스웨터
0407,jacket,재킷
0408,coat,코트
0409,jeans,청바지
0410,pants,바지
0411,skirt,치마
0412,pajamas,잠옷
0413,socks,양말
0414,shoes,신발
0415,sneakers,운동화
0416,hat,모자
0417,cap,모자
0418,belt,벨트
0419,tie,넥타이
0420,glove,장갑
0421,scarf,스카프
0422,jewelry,"보석, 장신구"
0423,necklace,목걸이
0424,ring,반지
0425,earring,귀걸이
0426,watch,시계
0427,wear,"입고 있다, 착용하고 있다"
0428,put on,"입다, 신다, 쓰다"
0429,take off,벗다
0430,undress,옷을 벗다
0431,style,스타일
0432,fashion,패션
0433,design,디자인
0434,size,크기
0435,fit,(옷이) 맞다
0436,tight,(옷이) 꽉 끼는
0437,loose,(옷이) 헐렁한
0438,color,색깔
0439,black,검은색
0440,white,흰색
0441,red,빨간색
0442,blue,파란색
0443,green,녹색
0444,yellow,노란색
0445,purple,보라색
0446,pink,분홍색
0447,brown,갈색
0448,gray,회색
0449,shopping,쇼핑
0450,buy,사다
0451,sell,팔다
0452,store,가게
0453,market,시장
0454,price,가격
0455,cheap,싼
0456,expensive,비싼
0457,cost,"비용, 값"
0458,pay,지불하다
0459,cash,현금
0460,credit card,신용카드
0461,change,거스름돈
0462,receipt,영수증
0463,return,반품하다
0464,discount,할인
0465,special offer,특별 할인
0466,sale,판매
0467,coupon,쿠폰
0468,exchange,교환하다
0469,spend,소비하다
0470,save,절약하다
0471,money,돈
0472,wallet,지갑
0473,pocket,주머니
0474,dollar,달러
0475,won,원(한국 화폐 단위)
0476,bank,은행
0477,ATM,현금 인출기
0478,account,계좌
0479,deposit,예금하다
0480,withdraw,인출하다
0481,loan,대출
0482,tax,세금
0483,income,소득
0484,salary,급여
0485,fee,요금
0486,tip,팁
0487,job,직업
0488,work,일
0489,office,사무실
0490,company,회사
0491,business,사업
0492,employee,직원
0493,boss,"사장, 상사"
0494,team,팀
0495,colleague,동료
0496,meeting,회의
0497,project,프로젝트
0498,duty,"의무, 직무"
0499,responsibility,책임
0500,task,업무
0501,deadline,마감일
0502,schedule,일정
0503,plan,계획
0504,retire,은퇴하다
0505,vacation,휴가
0506,break,휴식
0507,praise,칭찬하다
0508,encourage,격려하다
0509,complain,불평하다
0510,fire,해고하다
0511,resign,사직하다
0512,traffic,교통
0513,car,자동차
0514,bus,버스
0515,subway,지하철
0516,train,기차
0517,plane,비행기
0518,bicycle,자전거
0519,drive,운전하다
0520,ride,(차 등에) 타다
0521,walk,걷다
0522,run,뛰다
0523,stop,멈추다
0524,start,시작하다
0525,fast,빠른
0526,slow,느린
0527,speed,속도
0528,lane,차선
0529,turn,"돌다, 회전하다"
0530,straight,곧장
0531,forward,앞으로
0532,back,뒤로
0533,road,도로
0534,street,거리
0535,highway,고속도로
0536,intersection,교차로
0537,bridge,다리
0538,tunnel,터널
0539,parking lot,주차장
0540,gas station,주유소
0541,taxi,택시
0542,airport,공항
0543,station,역
0544,bus stop,버스 정류장
0545,ticket,표
0546,fare,요금
0547,map,지도
0548,guide,안내하다
0549,direction,방향
0550,north,북쪽
0551,south,남쪽
0552,east,동쪽
0553,west,서쪽
0554,left,왼쪽
0555,right,오른쪽
0556,travel,여행하다
0557,journey,여행
0558,tour,여행
0559,trip,여행
0560,vacation,"휴가, 방학"
0561,resort,휴양지
0562,hotel,호텔
0563,lodge,숙박하다
0564,check in,투숙 수속을 하다
0565,check out,퇴실 수속을 하다
0566,passport,여권
0567,visa,비자
0568,customs,세관
0569,pack,짐을 싸다
0570,luggage,수하물
0571,bag,가방
0572,backpack,배낭
0573,souvenir,기념품
0574,culture,문화
0575,tradition,전통
0576,art,예술
0577,museum,박물관
0578,gallery,미술관
0579,painting,그림
0580,music,음악
0581,song,노래
0582,sing,노래하다
0583,dance,춤추다
0584,band,악단
0585,instrument,악기
0586,movie,영화
0587,theater,극장
0588,show,쇼
0589,performance,공연
0590,act,연기하다
0591,actor,배우
0592,actress,여배우
0593,history,역사
0594,story,이야기
0595,myth,신화
0596,literature,문학
0597,book,책
0598,read,읽다
0599,write,쓰다
0600,copy,복사하다
0601,letter,"편지, 글자"
0602,sentence,문장
0603,paragraph,단락
0604,word,단어
0605,language,언어
0606,translate,번역하다
0607,meaning,의미
0608,dictionary,사전
0609,school,학교
0610,student,학생
0611,teacher,교사
0612,professor,교수
0613,class,"수업, 학급"
0614,lecture,강의
0615,study,공부하다
0616,learn,배우다
0617,teach,가르치다
0618,education,교육
0619,test,시험
0620,exam,시험
0621,quiz,쪽지 시험
0622,grade,성적
0623,pass,(시험에) 합격하다
0624,fail,(시험에) 낙제하다
0625,homework,숙제
0626,assignment,과제
0627,paper,논문
0628,notebook,공책
0629,pen,펜
0630,pencil,연필
0631,eraser,지우개
0632,rule,규칙
0633,law,법
0634,government,정부
0635,president,대통령
0636,election,선거
0637,vote,투표하다
0638,nation,국가
0639,country,나라
0640,citizen,시민
0641,public,공공의
0642,private,사적인
0643,social,사회의
0644,group,단체
0645,team,팀
0646,organization,조직
0647,community,공동체
0648,religion,종교
0649,church,교회
0650,temple,"사원, 절"
0651,science,과학
0652,experiment,실험
0653,research,연구
0654,theory,이론
0655,technology,기술
0656,computer,컴퓨터
0657,internet,인터넷
0658,website,웹사이트
0659,email,이메일
0660,message,메시지
0661,send,보내다
0662,receive,받다
0663,call,전화하다
0664,photo,사진
0665,video,비디오
0666,record,기록하다
0667,print,인쇄하다
0668,machine,기계
0669,tool,도구
0670,material,재료
0671,wood,나무
0672,metal,금속
0673,plastic,플라스틱
0674,glass,유리
0675,paper,종이
0676,weather,날씨
0677,sun,태양
0678,sunny,맑은
0679,cloud,구름
0680,cloudy,흐린
0681,rain,비
0682,rainy,비가 오는
0683,snow,눈
0684,snowy,눈이 오는
0685,wind,바람
0686,windy,바람이 부는
0687,storm,폭풍
0688,thunder,천둥
0689,lightning,번개
0690,temperature,온도
0691,hot,뜨거운
0692,warm,따뜻한
0693,cool,시원한
0694,cold,추운
0695,air,공기
0696,breeze,산들바람
0697,sky,하늘
0698,star,별
0699,moon,달
0700,earth,지구
0701,nature,자연
0702,forest,숲
0703,tree,나무
0704,flower,꽃
0705,plant,식물
0706,grow,자라다
0707,animal,동물
0708,pet,애완동물
0709,dog,개
0710,cat,고양이
0711,bird,새
0712,fish,물고기
0713,insect,곤충
0714,mountain,산
0715,river,강
0716,sea,바다
0717,ocean,대양
0718,beach,해변
0719,wave,파도
0720,rock,바위
0721,sand,모래
0722,water,물
0723,ice,얼음
0724,snow,눈
0725,fire,불
0726,color,색깔
0727,light,빛
0728,shadow,그림자
0729,sound,소리
0730,noise,소음
0731,loud,소리가 큰
0732,quiet,조용한
0733,silence,침묵
0734,hear,듣다
0735,listen,듣다
0736,see,보다
0737,look,보다
0738,watch,보다
0739,smell,냄새 맡다
0740,taste,맛보다
0741,touch,만지다
0742,feel,느끼다
0743,time,시간
0744,day,하루
0745,night,밤
0746,morning,아침
0747,afternoon,오후
0748,evening,저녁
0749,today,오늘
0750,yesterday,어제
0751,tomorrow,내일
0752,week,주
0753,weekend,주말
0754,month,월
0755,year,년
0756,second,초
0757,minute,분
0758,hour,시간
0759,o'clock,~시 정각
0760,date,날짜
0761,calendar,달력
0762,clock,시계
0763,early,일찍
0764,late,늦게
0765,always,항상
0766,often,종종
0767,sometimes,때때로
0768,never,결코 ~ 않다
0769,now,지금
0770,then,그때
0771,soon,곧
0772,ago,~ 전에
0773,since,~ 이래로
0774,during,~ 동안에
0775,before,~ 전에
0776,after,~ 후에
0777,when,~할 때
0778,while,~하는 동안에
0779,until,~까지
0780,already,이미
0781,yet,아직
0782,still,여전히
0783,just,방금
0784,almost,거의
0785,about,대략
0786,too,너무
0787,very,매우
0788,enough,충분한
0789,only,오직
0790,even,심지어
0791,also,또한
0792,either,어느 쪽이든
0793,neither,어느 쪽도 ~ 않다
0794,both,둘 다
0795,together,함께
0796,alone,혼자
0797,around,주위에
0798,here,여기
0799,there,저기
0800,everywhere,모든 곳에
0801,nowhere,아무 데도 ~ 않다
0802,up,위로
0803,down,아래로
0804,in,안에
0805,out,밖에
0806,on,위에
0807,off,떨어져서
0808,at,~에
0809,to,~에게
0810,from,~로부터
0811,by,~ 옆에
0812,with,~와 함께
0813,without,~ 없이
0814,for,~을 위해
0815,of,~의
0816,about,~에 대해
0817,over,~ 위에
0818,under,~ 아래에
0819,between,~ 사이에
0820,among,~ 사이에
0821,before,~ 전에
0822,after,~ 후에
0823,through,~을 통해
0824,into,~ 안으로
0825,onto,~ 위로
0826,near,~ 근처에
0827,far,먼
0828,next to,~ 옆에
0829,what,무엇
0830,where,어디
0831,when,언제
0832,why,왜
0833,how,어떻게
0834,who,누구
0835,which,어느 것
0836,whose,누구의
0837,this,이것
0838,that,저것
0839,these,이것들
0840,those,저것들
0841,all,모든
0842,some,약간의
0843,any,어떤
0844,no,아무것도 ~ 않다
0845,every,모든
0846,each,각각의
0847,many,많은
0848,much,많은
0849,few,소수의
0850,little,약간의
0851,other,다른
0852,another,또 다른
0853,one,하나
0854,two,둘
0855,three,셋
0856,four,넷
0857,five,다섯
0858,six,여섯
0859,seven,일곱
0860,eight,여덟
0861,nine,아홉
0862,ten,열
0863,hundred,백
0864,thousand,천
0865,million,백만
0866,first,첫 번째
0867,second,두 번째
0868,third,세 번째
0869,next,다음의
0870,last,마지막의
0871,big,큰
0872,small,작은
0873,long,긴
0874,short,짧은
0875,wide,넓은
0876,narrow,좁은
0877,high,높은
0878,low,낮은
0879,deep,깊은
0880,shallow,얕은
0881,heavy,무거운
0882,light,가벼운
0883,strong,강한
0884,weak,약한
0885,hard,단단한
0886,soft,부드러운
0887,good,좋은
0888,bad,나쁜
0889,better,더 좋은
0890,best,가장 좋은
0891,worse,더 나쁜
0892,worst,가장 나쁜
0893,easy,쉬운
0894,difficult,어려운
0895,simple,단순한
0896,complex,복잡한
0897,true,사실인
0898,false,거짓인
0899,real,진짜의
0900,fake,가짜의
0901,new,새로운
0902,old,오래된
0903,young,어린
0904,rich,부유한
0905,poor,가난한
0906,safe,안전한
0907,dangerous,위험한
0908,clean,깨끗한
0909,dirty,더러운
0910,empty,비어 있는
0911,full,가득 찬
0912,dry,마른
0913,wet,젖은
0914,hot,뜨거운
0915,cold,추운
0916,warm,따뜻한
0917,cool,시원한
0918,bright,밝은
0919,dark,어두운
0920,early,이른
0921,late,늦은
0922,fast,빠른
0923,slow,느린
0924,loud,소리가 큰
0925,quiet,조용한
0926,busy,바쁜
0927,free,한가한
0928,ready,준비된
0929,sure,확신하는
0930,certain,확실한
0931,possible,가능한
0932,impossible,불가능한
0933,able,~할 수 있는
0934,unable,~할 수 없는
0935,important,중요한
0936,necessary,필요한
0937,useful,유용한
0938,useless,쓸모없는
0939,know,알다
0940,understand,이해하다
0941,think,생각하다
0942,believe,믿다
0943,doubt,의심하다
0944,remember,기억하다
0945,forget,잊다
0946,see,보다
0947,look,보다
0948,watch,보다
0949,hear,듣다
0950,listen,듣다
0951,feel,느끼다
0952,smell,냄새 맡다
0953,taste,맛보다
0954,touch,만지다
0955,say,말하다
0956,tell,말하다
0957,speak,말하다
0958,talk,말하다
0959,ask,묻다
0960,answer,대답하다
0961,write,쓰다
0962,read,읽다
0963,learn,배우다
0964,teach,가르치다
0965,study,공부하다
0966,work,일하다
0967,play,놀다
0968,run,뛰다
0969,walk,걷다
0970,drive,운전하다
0971,travel,여행하다
0972,come,오다
0973,go,가다
0974,enter,들어가다
0975,exit,나가다
0976,leave,떠나다
0977,return,돌아오다
0978,stay,머무르다
0979,live,살다
0980,die,죽다
0981,be,"이다, 있다"
0982,have,가지다
0983,do,하다
0984,make,만들다
0985,take,가져가다
0986,get,얻다
0987,give,주다
0988,put,놓다
0989,set,"놓다, 설정하다"
0990,keep,유지하다
0991,let,~하게 하다
0992,help,돕다
0993,try,노력하다
0994,need,필요하다
0995,want,원하다
0996,like,좋아하다
0997,dislike,싫어하다
0998,love,사랑하다
0999,hate,미워하다
1000,must,~해야 한다
1001,can,~할 수 있다
1002,may,~일지도 모른다
1003,will,~할 것이다
1004,would,~할 것이다(과거형)
1005,shall,~할 것이다(의지)
1006,should,~해야 한다
1007,a,하나의
1008,the,그
1009,I,나는
1010,you,너는
1011,he,그는
1012,she,그녀는
1013,it,그것은
1014,we,우리는
1015,they,그들은
1016,my,나의
1017,your,너의
1018,his,그의
1019,her,그녀의
1020,its,그것의
1021,our,우리의
1022,their,그들의
1023,me,나를
1024,him,그를
1025,us,우리를
1026,them,그들을
1027,mine,나의 것
1028,yours,너의 것
1029,hers,그녀의 것
1030,ours,우리의 것
1031,theirs,그들의 것
1032,myself,나 자신
1033,yourself,너 자신
1034,himself,그 자신
1035,herself,그녀 자신
1036,itself,그것 자신
1037,ourselves,우리 자신들
1038,themselves,그들 자신들
1039,this,이것
1040,that,저것
1041,these,이것들
1042,those,저것들
1043,some,약간
1044,any,아무것
1045,none,아무것도 ~ 않다
1046,all,모두
1047,many,많은 것
1048,much,많은 양
1049,few,소수
1050,little,소량
1051,other,다른 것
1052,another,또 다른 것
1053,one,하나
1054,each,각각
1055,every,모든 것
1056,body,"몸, 단체"
1057,thing,"물건, 일"
1058,person,사람
1059,place,장소
1060,time,시간
1061,way,방법
1062,number,숫자
1063,line,"줄, 선"
1064,word,단어
1065,point,"점, 요점"
1066,home,집
1067,office,사무실
1068,city,도시
1069,country,나라
1070,world,세계
1071,air,공기
1072,water,물
1073,fire,불
1074,food,음식
1075,money,돈
1076,work,일
1077,job,직업
1078,hand,손
1079,foot,발
1080,eye,눈
1081,head,머리
1082,back,등
1083,front,앞
1084,side,옆
1085,name,이름
1086,age,나이
1087,day,하루
1088,week,주
1089,month,월
1090,year,년
1091,morning,아침
1092,night,밤
1093,sun,태양
1094,moon,달
1095,star,별
1096,rain,비
1097,snow,눈
1098,wind,바람
1099,road,도로
1100,street,거리
1101,car,자동차
1102,bus,버스
1103,train,기차
1104,plane,비행기
1105,travel,여행
1106,music,음악
1107,book,책
1108,story,이야기
1109,game,게임
1110,sport,스포츠
1111,school,학교
1112,student,학생
1113,teacher,교사
1114,family,가족
1115,friend,친구
1116,love,사랑
1117,hate,증오
1118,happy,행복한
1119,sad,슬픈
1120,big,큰
1121,small,작은
1122,good,좋은
1123,bad,나쁜
1124,new,새로운
1125,old,오래된
1126,long,긴
1127,short,짧은
1128,high,높은
1129,low,낮은
1130,easy,쉬운
1131,hard,어려운
1132,know,알다
1133,think,생각하다
1134,say,말하다
1135,go,가다
1136,come,오다
1137,see,보다
1138,look,보다
1139,want,원하다
1140,need,필요하다
1141,be,"이다, 있다"
1142,have,가지다
1143,do,하다
1144,make,만들다
1145,get,얻다
1146,put,놓다
1147,take,가져가다
1148,give,주다
1149,help,돕다
1150,try,노력하다
1151,and,그리고
1152,or,또는
1153,but,그러나
1154,because,~ 때문에
1155,if,만약 ~라면
1156,when,~할 때
1157,where,~하는 곳
1158,how,어떻게
1159,what,무엇
1160,who,누구
1161,which,어느 것
1162,to,~에게
1163,of,~의
1164,in,~ 안에
1165,on,~ 위에
1166,at,~에
1167,with,~와 함께
1168,from,~로부터
1169,for,~을 위해
1170,about,~에 대해
1171,up,위로
1172,down,아래로
1173,now,지금
1174,then,그때
1175,here,여기
1176,there,저기
1177,very,매우
1178,too,너무
1179,always,항상
1180,never,결코 ~ 않다
1181,all,모든
1182,some,약간의
1183,any,어떤
1184,no,아무것도 ~ 않다
1185,one,하나
1186,two,둘
1187,three,셋
1188,first,첫 번째
1189,last,마지막
1190,new,새로운
1191,old,오래된
1192,good,좋은
1193,bad,나쁜
1194,big,큰
1195,small,작은
1196,fast,빠른
1197,slow,느린
1198,easy,쉬운
1199,hard,어려운
1200,happy,행복한
1201,day,하루
1202,night,밤
1203,morning,아침
1204,afternoon,오후
1205,evening,저녁
1206,today,오늘
1207,yesterday,어제
1208,tomorrow,내일
1209,week,주
1210,weekend,주말
1211,month,월
1212,year,년
1213,time,시간
1214,hour,시간
1215,minute,분
1216,second,초
1217,date,날짜
1218,sun,태양
1219,moon,달
1220,star,별
1221,sky,하늘
1222,cloud,구름
1223,rain,비
1224,snow,눈
1225,wind,바람
1226,air,공기
1227,water,물
1228,fire,불
1229,earth,지구
1230,nature,자연
1231,tree,나무
1232,flower,꽃
1233,animal,동물
1234,bird,새
1235,fish,물고기
1236,person,사람
1237,man,남자
1238,woman,여자
1239,child,어린이
1240,family,가족
1241,friend,친구
1242,home,집
1243,room,방
1244,bed,침대
1245,table,탁자
1246,chair,의자
1247,door,문
1248,window,창문
1249,car,자동차
1250,bus,버스
1251,train,기차
1252,plane,비행기
1253,road,도로
1254,street,거리
1255,city,도시
1256,country,나라
1257,school,학교
1258,work,일
1259,money,돈
1260,food,음식
1261,drink,음료
1262,music,음악
1263,book,책
1264,movie,영화
1265,sport,스포츠
1266,game,게임
1267,talk,말하다
1268,write,쓰다
1269,read,읽다
1270,know,알다
1271,think,생각하다
1272,understand,이해하다
1273,feel,느끼다
1274,look,보다
1275,listen,듣다
1276,be,"이다, 있다"
1277,have,가지다
1278,do,하다
1279,make,만들다
1280,get,얻다
1281,go,가다
1282,come,오다
1283,take,가져가다
1284,give,주다
1285,put,놓다
1286,try,노력하다
1287,help,돕다
1288,need,필요하다
1289,want,원하다
1290,like,좋아하다
1291,love,사랑하다
1292,first,첫 번째
1293,last,마지막
1294,next,다음의
1295,early,일찍
1296,late,늦게
1297,always,항상
1298,often,종종
1299,sometimes,때때로
1300,never,결코 ~ 않다
1301,now,지금
1302,then,그때
1303,here,여기
1304,there,저기
1305,up,위로
1306,down,아래로
1307,in,안에
1308,out,밖에
1309,on,위에
1310,off,떨어져서
1311,big,큰
1312,small,작은
